alexatop,malware_domain,phishtank,domaintoolsregistrars,knujon,DomainNameEntropy,registrar_prices,isNotResolves,isBogon,ttlRisk,spamhausreg,SpamhausTld,zonefiles_tld,lehigh-typosquat,AlexaLevSim_score,AlexaLevSim_domain,DomainName
false,false,true,0.6,0.6,0.054895170558392374,0.6,false,0,0.7,false,0.0608695652173913,0.6261409668089843,false,0.53125,essentialelementsinteractive.com,revenueemployementinterac.com
false,false,true,0.6,0.6,0.04658111262919523,0.6,true,true,0.7,false,0.018633540372670804,0.04236114144319666,false,0.7142857142857143,underwar.org,andrewcarr.org
false,false,true,0.6,0.6,0.051461881396452185,0.6,true,false,0.5,false,0.0608695652173913,0.6261409668089843,false,0.75,freeoffice.com,forms.office.com
false,false,true,0.6,0.6,0.06745614270421349,0.6,true,false,0.3,false,0.0608695652173913,0.6261409668089843,false,0.8,sharedcount.com,sylviamclain-my.sharepoint.com
false,false,true,0.09731543624161074,0.272452068617558,0.1367428631315864,0,true,true,0.7,false,0.0608695652173913,0.6261409668089843,false,0.631578947368421,eniac-tech.com,environaquatech.com
false,false,true,0.09731543624161074,0.272452068617558,0.1367428631315864,0,true,true,0.7,false,0.0608695652173913,0.6261409668089843,false,0.631578947368421,eniac-tech.com,environaquatech.com
false,false,true,0.6,0.6,0.05399630678177423,0.6,true,false,0.3,false,0.0608695652173913,0.6261409668089843,false,0.7058823529411765,onefivenine.com,onedrive.live.com
false,false,true,0.09731543624161074,0.272452068617558,0.12723841163898386,0,false,0,0.7,false,0.02857142857142857,0.002266473163063276,false,0.5333333333333333,smsbits.in,m3mskysuites.in
false,false,true,0.6,0.6,0.10863695069630025,0.6,true,true,0.7,false,0.6,2.4435358427917003e-9,false,0.6538461538461539,cpetecnologia.com.br,porquebiotecnologia.com.ar
false,false,true,0.6,0.6,0.04569342798561589,0.6,false,0,0.7,false,0.0608695652173913,0.6261409668089843,false,0.6875,sandmarc.com,saranewmaroc.com
false,false,true,0.6,0.6,0.051461881396452185,0.6,true,false,0.5,false,0.0608695652173913,0.6261409668089843,false,0.75,freeoffice.com,forms.office.com
false,false,true,0.6,0.6,0.04658111262919523,0.6,true,true,0.7,false,0.018633540372670804,0.04236114144319666,false,0.7142857142857143,underwar.org,andrewcarr.org
false,false,true,0.6,0.6,0.019949053871479702,0.6,true,false,0.7,false,0.014906832298136644,0.0016253341560718516,false,0,true,t.co
false,false,true,0.6,0.6,0.6310478501911111,0.6,false,0,0.7,false,0.6,0.00013109569796577474,false,0.3125,1198.cn,216.119.108.161
false,false,true,0.6,0.6,0.6310478501911111,0.6,false,0,0.7,false,0.6,0.00013109569796577474,false,0.3125,1198.cn,216.119.108.161
false,false,true,0.09731543624161074,0.272452068617558,0.041191745094385994,0,true,true,0.7,false,0.02857142857142857,0.002266473163063276,false,0.7142857142857143,poco.in,ytco.in
false,false,true,0.6,0.6,0.058125661150335316,0.6,true,false,0.5,false,0.0608695652173913,0.6261409668089843,false,0.8,sharedcount.com,parislab-my.sharepoint.com
false,false,true,0.09731543624161074,0.272452068617558,0.06014734701840324,0,true,false,0.6,false,0.0608695652173913,0.6261409668089843,false,0.6666666666666666,spreedly.com,www.spreely.com
false,false,true,0.6,0.6,0.0413324428498139,0.6,true,true,0.7,false,0.0012422360248447203,0.0001688198188187406,false,0.75,trodo.lv,tomo.lv
false,false,true,0.6,0.6,0.0641998451781803,0.6,true,true,0.7,false,0.6,2.4435358427917003e-9,false,0.6,michelin.com.cn,www.lightlink.com.cn
false,false,true,0.6,0.2805247225025227,0.18901114183476966,0.6,true,true,0.3,false,0.0608695652173913,0.6261409668089843,false,0.8,sitew.com,noreply2redirect2.site44.com
false,false,true,0.6,0.6,0.051461881396452185,0.6,true,false,0.5,false,0.0608695652173913,0.6261409668089843,false,0.75,freeoffice.com,forms.office.com
false,false,true,0.6,0.6,0.09849202572677979,0.6,true,false,0.3,false,0.003726708074534161,0.000006805247322174886,false,1,1drv.com,1drv.ms
false,false,true,0.6,0.6,0.051461881396452185,0.6,true,false,0.5,false,0.0608695652173913,0.6261409668089843,false,0.75,freeoffice.com,forms.office.com
false,false,true,0.6,0.6,0.09413962837947393,0.6,true,false,0.5,false,0.0608695652173913,0.6261409668089843,false,0,true,www.experiencebrettjackson.dreamhosters.com
false,false,true,0.6,0.6,0.09118079571755255,0.6,true,false,0.6,false,0.6,2.4435358427917003e-9,false,0.6190476190476191,specsavers.com.au,usedexcavators.com.au
false,false,true,0.6,0.04944500504540868,0.037099120033678205,0.7853864796140958,true,true,0.5,false,0.0608695652173913,0.6261409668089843,false,0.7333333333333333,routerlogin.com,goattlogin.com
false,false,true,0.6,0.6,0.05841835974800574,0.6,true,false,0.5,false,0.0608695652173913,0.6261409668089843,false,0.8,sharedcount.com,cteam-my.sharepoint.com
false,false,true,0.3098434004474273,0.06659939455095863,0.07967946190798379,0.6,true,true,0.7,false,0.0608695652173913,0.6261409668089843,false,0.6666666666666666,quizur.com,rhizucor.com
false,false,true,0.6,0.13723511604439959,0.0806541539846142,0.6,true,false,0.7,false,0.016149068322981366,0.0003395618858338107,false,0.6666666666666666,gr8.cc,www.neudorf-ole.irv.cc
false,false,true,0.6,0.6,0.1775316603879758,0.6,true,false,0.5,false,0.0012422360248447203,0.009223789865854566,false,0.5625,beerorcoffee.com,login.microsoftonline.com.common.login.invoice.21355.meertreffen.ch
false,false,true,0.6,0.6,0.06439102812428563,0.6,true,false,0.3,false,0.0608695652173913,0.6261409668089843,false,0.8,sharedcount.com,certifiedmanagementgroup-my.sharepoint.com
false,false,true,0.09731543624161074,0.272452068617558,0.0569086995957913,0,true,true,0.6,false,0.0608695652173913,0.6261409668089843,false,0.6666666666666666,personalcreations.com,personalbravery.com
false,false,true,0.6,0.6,0.02117962051691317,0.6,true,false,0.6,false,0.017391304347826087,0.0004882876949053275,false,0,true,s.id
