domaintoolsregistrars,knujon,DomainNameEntropy,registrar_prices,isNotResolves,ttlRisk,spamhausreg,SpamhausTld,lehigh-typosquat,AlexaLevSim_score,AlexaLevSim_domain,Label 
0.6,0.6,0.034491197,0.6,TRUE,0.5,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.045070755,0.6,TRUE,0.5,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.3098434,0.066599395,0.05374345,0.6,TRUE,0.3,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.038700013,0.6,TRUE,0.6,FALSE,0.6,FALSE,0,TRUE,alexatop
0.6,0.6,0.113405581,0.6,TRUE,0.5,FALSE,0.034782609,FALSE,0,TRUE,alexatop
0.6,0.6,0.03376513,0.6,TRUE,0.5,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.03762153,0.6,TRUE,0.3,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.120080727,0.032269083,0.6,TRUE,0.7,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.049519096,0.6,TRUE,0.5,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.038792549,0.6,TRUE,0.6,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.030659132,0.6,TRUE,0.7,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.052568166,0.6,TRUE,0.3,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.049186083,0.6,TRUE,0.5,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.047998887,0.6,FALSE,0.7,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.03093252,0.6,TRUE,0.3,FALSE,0.034782609,FALSE,0,TRUE,alexatop
0.6,0.6,0.041570571,0.6,TRUE,0.3,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.033182529,0.6,TRUE,0.5,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.037102294,0.6,TRUE,0.3,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.158367475,0.6,TRUE,0.6,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.054743954,0.6,TRUE,0.5,FALSE,0.6,FALSE,0,TRUE,alexatop
0.6,0.6,0.034845906,0.6,TRUE,0.5,FALSE,0.6,FALSE,0,TRUE,alexatop
0.6,0.6,0.47914868,0.6,TRUE,0.5,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.096063119,0.6,TRUE,0.3,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.02377253,0.6,TRUE,0.5,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.099560826,0.6,TRUE,0.3,FALSE,0.060869565,FALSE,0,TRUE,alexatop
0.6,0.6,0.038889434,0.6,TRUE,0.7,FALSE,0.060869565,FALSE,0,TRUE,alexatop
