malware_domain,phishtank,alexatop,domaintoolsregistrars,knujon,DomainNameEntropy,registrar_prices,isNotResolves,isBogon,ttlRisk,spamhausreg,SpamhausTld,domain_age,lehigh-typosquat,AlexaLevSim_score,AlexaLevSim_domain,DomainName
false,false,false,0.09731543624161074,0.272452068617558,0.08335577484439267,1,true,false,0.6,,0.0608695652173913,0.023376623376623374,false,0.6111111111111112,bigdataserve.com,www.bigjayoakerson.com
false,false,false,0.09731543624161074,0.272452068617558,0.05568720362485842,1,true,false,0.7,,0.0608695652173913,0.023376623376623374,false,0.8333333333333334,betclan.com,www.petsclan.com
false,false,false,0.09731543624161074,0.272452068617558,0.060343350826475024,1,true,false,0.6,,0.0608695652173913,0.023376623376623374,false,0.6666666666666666,vanetbarbisim.com,www.vanessabrisson.com
false,false,false,0.6,0.3955600403632694,0.05921641854243642,0.5841084610298728,true,false,0.7,,0.0608695652173913,0.10909090909090909,false,0.65,archedcabins.com,www.pnwcascadecabins.com
false,false,false,0.6,0.6,0.05256248897179096,0.6,true,false,0.5,,0.6,0.023376623376623374,false,0.6842105263157895,e-clinic.co.uk,blemishclinic.co.uk
false,false,false,0.09731543624161074,0.272452068617558,0.048107622196227495,1,true,false,0.7,,0.0608695652173913,0.023376623376623374,false,0.7222222222222222,meet-an-inmate.com,www.meetanostomate.com
false,false,false,0.6,0.6,0.08324639632310242,0.6,true,false,0.6,,0.28819875776397513,0.1038961038961039,false,0.7,transin.in,www.trans1.cn
false,false,false,0.6,0.6,0.05359276904327066,0.6,true,false,0.7,,0,0.07272727272727274,false,0.7,dentos.com,www.denios.cat
false,false,false,0.6,0.6,0.16010484106945558,0.6,true,false,0.7,,0.0012422360248447203,0.023376623376623374,false,0.75,unitn.it,geologia2000.anisn.it
false,false,false,0.6,0.6,0.43243236974641447,0.6,true,false,0.3,,0.0608695652173913,0.4675324675324675,false,0.6666666666666666,iraq2003.com,l.ec922003.com
false,false,false,0.09731543624161074,0.272452068617558,0.09223521323939629,1,true,false,0.6,,0.0608695652173913,0.03896103896103896,false,0.65,nametagwizard.com,uncleharrywizard.com
false,false,false,0.09731543624161074,0.272452068617558,0.5370495708233822,1,true,false,0.5,,0.0608695652173913,0.023376623376623374,false,0.75,67d.com,6474.com
false,false,false,0.09731543624161074,0.272452068617558,0.06260163134066841,1,true,false,0.7,,0.0608695652173913,0.023376623376623374,false,0.7916666666666666,naturaltherapyindia.com,www.naturaltherapycenter.com
false,false,false,0.412751677852349,0.06559031281533804,0.06431308081795838,0.2703552828758349,true,false,0.7,,0.018633540372670804,0.023376623376623374,false,0.75,pace-cme.org,www.pace-nsc.org
false,false,false,0.6,0.6,0.0545499462996517,0.6,true,false,0.7,,0.0608695652173913,0.023376623376623374,false,0.8571428571428571,zmescience.com,www.bmscience.com
false,false,false,0.6,0.8738647830474269,0.06295173210021074,0.6,true,false,0.7,,0.0608695652173913,0.5454545454545454,false,0.6086956521739131,powersportsmax.com,www.flowerspiritlamagie.com
