tld,badness_percent,score
mv,0.0,0.00
mw,0.0,0.00
mx,0.7,0.03
my,0.7,0.02
mz,0.6,0.00
na,0.0,0.00
nab,0.0,0.00
nagoya,30.2,1.32
name,1.7,0.06
nationwide,0.0,0.00
navy,0.0,0.00
nc,0.0,0.00
ne,0.0,0.00
net,4.7,0.47
network,3.7,0.19
neustar,0.0,0.00
new,0.0,0.00
news,2.2,0.10
nf,17.6,0.19
ng,1.0,0.04
ngo,2.1,0.03
ni,0.0,0.00
nikon,0.0,0.00
ninja,1.5,0.05
nissay,0.0,0.00
nl,0.7,0.04
no,0.0,0.00
norton,0.0,0.00
np,1.4,0.03
nr,0.0,0.00
nrw,2.3,0.05
ntt,0.0,0.00
nu,0.1,0.00
nyc,1.3,0.03
nz,0.1,0.00
observer,4.9,0.03
okinawa,35.9,1.65
om,0.0,0.00
one,0.7,0.03
ong,1.1,0.01
onl,0.5,0.00
online,1.9,0.14
onyourside,0.0,0.00
ooo,6.1,0.15
oracle,0.0,0.00
org,1.8,0.15
organic,0.0,0.00
osaka,0.0,0.00
ovh,4.4,0.21
pa,2.1,0.02
page,0.1,0.00
paris,0.5,0.01
partners,1.1,0.02
parts,0.5,0.00
party,6.2,0.26
pay,0.0,0.00
pe,0.9,0.03
pet,4.0,0.12
pf,0.0,0.00
pfizer,0.0,0.00
pg,0.0,0.00
ph,1.3,0.04
pharmacy,0.0,0.00
photo,0.7,0.01
photography,0.5,0.01
photos,0.3,0.00
physio,0.0,0.00
pics,1.4,0.02
pictet,0.0,0.00
pictures,0.8,0.01
pink,6.7,0.24
pizza,1.3,0.02
pk,6.6,0.32
pl,1.0,0.06
place,0.4,0.00
plumbing,0.4,0.00
plus,0.9,0.02
pm,3.0,0.03
pn,0.0,0.00
poker,0.8,0.01
porn,1.0,0.01
post,0.0,0.00
pr,0.0,0.00
press,5.6,0.24
pro,4.3,0.26
prod,0.0,0.00
productions,0.2,0.00
promo,12.4,0.47
properties,2.8,0.08
property,1.5,0.00
protection,0.0,0.00
ps,4.3,0.08
pt,0.2,0.00
pub,0.3,0.00
pw,4.9,0.34
py,0.7,0.01
qa,0.4,0.00
qpon,0.0,0.00
quebec,0.0,0.00
racing,4.1,0.11
radio,0.0,0.00
re,0.7,0.01
realestate,0.0,0.00
realtor,0.0,0.00
realty,0.0,0.00
recipes,41.4,2.41
red,6.7,0.29
rehab,0.8,0.00
reise,0.0,0.00
reit,0.0,0.00
reliance,0.0,0.00
ren,1.7,0.07
rent,0.0,0.00
rentals,1.2,0.02
repair,0.5,0.00
report,2.1,0.05
republican,0.0,0.00
rest,69.6,5.55
restaurant,0.0,0.00
review,7.7,0.30
reviews,0.9,0.02
rich,0.0,0.00
ril,0.0,0.00
rio,0.0,0.00
rip,0.5,0.00
ro,0.5,0.02
rocks,3.7,0.19
rodeo,5.2,0.08
rs,0.4,0.01
ru,3.3,0.28
rugby,0.0,0.00
ruhr,0.0,0.00
run,7.3,0.34
rw,0.4,0.00
ryukyu,75.2,3.29
sa,0.7,0.01
saarland,0.0,0.00
sale,1.2,0.03
salon,0.0,0.00
sanofi,0.0,0.00
sap,0.0,0.00
sarl,2.0,0.00
saxo,0.0,0.00
sb,0.0,0.00
sbi,0.0,0.00
sc,1.8,0.00
schaeffler,0.0,0.00
school,0.7,0.01
schule,1.8,0.02
schwarz,0.0,0.00
science,5.9,0.21
scot,0.3,0.00
sd,0.0,0.00
se,0.1,0.00
seat,0.0,0.00
security,0.0,0.00
select,0.0,0.00
sener,0.0,0.00
services,7.2,0.41
sex,0.8,0.00
sexy,0.8,0.01
sg,0.6,0.02
sh,0.0,0.00
shangrila,0.0,0.00
shell,0.0,0.00
shiksha,0.0,0.00
shoes,0.9,0.01
shop,1.3,0.07
shopping,0.2,0.00
show,0.3,0.00
shriram,0.0,0.00
si,0.2,0.00
singles,2.1,0.03
site,3.0,0.24
sk,0.1,0.00
ski,0.0,0.00
skin,0.0,0.00
sky,0.0,0.00
skype,0.0,0.00
sl,0.0,0.00
sm,3.8,0.00
sn,0.0,0.00
sncf,0.0,0.00
so,3.4,0.05
soccer,0.0,0.00
social,0.2,0.00
software,0.1,0.00
solar,0.4,0.00
solutions,0.9,0.03
sony,0.0,0.00
soy,0.0,0.00
space,3.0,0.20
sport,0.0,0.00
sr,0.0,0.00
srl,1.7,0.02
st,0.8,0.01
stada,0.0,0.00
statebank,0.0,0.00
statefarm,0.0,0.00
stockholm,0.0,0.00
storage,0.0,0.00
store,1.1,0.06
stream,2.2,0.07
studio,0.5,0.01
study,0.8,0.00
style,10.8,0.48
su,9.5,0.63
sucks,0.0,0.00
supplies,1.4,0.01
supply,0.3,0.00
support,11.6,0.63
surf,14.0,0.51
surgery,0.0,0.00
sv,5.6,0.10
swiss,0.0,0.00
sx,4.5,0.00
sy,0.0,0.00
sydney,0.0,0.00
symantec,0.0,0.00
systems,2.6,0.10
sz,4.3,0.00
taipei,0.0,0.00
tatamotors,0.0,0.00
tatar,0.0,0.00
tattoo,0.0,0.00
tax,1.4,0.02
taxi,0.6,0.00
tc,0.0,0.00
td,0.0,0.00
team,0.9,0.02
tech,2.9,0.18
technology,0.6,0.01
tel,0.5,0.01
tennis,0.0,0.00
tf,4.5,0.06
tg,0.0,0.00
th,1.5,0.04
theater,0.0,0.00
theatre,0.0,0.00
tiaa,0.0,0.00
tickets,0.0,0.00
tienda,0.0,0.00
tips,1.3,0.04
tires,0.0,0.00
tirol,0.7,0.00
tj,0.8,0.00
tk,34.4,3.25
tl,0.0,0.00
tm,0.0,0.00
tn,0.3,0.00
to,5.5,0.19
today,3.7,0.21
tokyo,14.8,1.24
tools,1.3,0.03
top,37.2,3.34
total,0.0,0.00
tours,6.4,0.25
town,1.3,0.01
toyota,0.0,0.00
toys,0.0,0.00
tr,0.8,0.03
trade,3.9,0.15
trading,0.0,0.00
training,0.6,0.01
travel,0.3,0.00
travelchannel,0.0,0.00
tt,0.0,0.00
tube,0.5,0.00
tv,0.8,0.03
tw,0.8,0.03
tz,0.5,0.01
ua,1.1,0.05
ubank,0.0,0.00
ubs,0.0,0.00
ug,15.1,0.50
uk,1.2,0.09
university,0.4,0.00
uno,4.2,0.22
us,5.6,0.43
uy,0.3,0.00
uz,0.5,0.01
va,0.0,0.00
vacations,0.0,0.00
vana,0.0,0.00
vanguard,0.0,0.00
vc,0.6,0.00
ve,0.7,0.01
vegas,0.0,0.00
ventures,9.2,0.41
versicherung,0.0,0.00
vet,1.3,0.02
vg,4.3,0.03
vi,0.0,0.00
viajes,4.3,0.03
video,0.5,0.01
villas,0.0,0.00
vin,0.0,0.00
vip,1.2,0.08
visa,0.0,0.00
vision,1.6,0.03
vlaanderen,0.0,0.00
vn,0.5,0.02
vodka,0.0,0.00
vote,0.0,0.00
voting,0.0,0.00
voto,5.0,0.00
voyage,2.0,0.02
vu,2.6,0.00
wales,3.4,0.10
walter,0.0,0.00
wang,42.6,4.40
watch,1.5,0.03
webcam,14.3,0.53
weber,0.0,0.00
website,4.4,0.32
wedding,1.2,0.03
weir,0.0,0.00
wf,4.8,0.03
wien,0.4,0.00
wiki,0.4,0.00
win,8.9,0.49
windows,0.0,0.00
wine,7.8,0.32
work,27.0,2.54
works,2.2,0.08
world,13.8,1.06
ws,0.7,0.02
wtf,0.9,0.03
xbox,0.0,0.00
xin,1.6,0.01
xn--1qqw23a,0.0,0.00
xn--3bst00m,0.0,0.00
xn--3ds443g,0.0,0.00
xn--3e0b707e,0.0,0.00
xn--42c2d9a,0.0,0.00
xn--45q11c,0.0,0.00
xn--4gbrim,0.0,0.00
xn--55qx5d,0.0,0.00
xn--5tzm5g,0.0,0.00
xn--6frz82g,3.8,0.05
xn--6qq986b3xl,0.5,0.00
xn--80adxhks,0.0,0.00
xn--80ao21a,0.0,0.00
xn--80asehdb,0.0,0.00
xn--80aswg,0.0,0.00
xn--90a3ac,0.0,0.00
xn--90ae,0.0,0.00
xn--90ais,0.0,0.00
xn--9dbq2a,0.0,0.00
xn--c1avg,3.4,0.04
xn--cck2b3b,0.0,0.00
xn--czr694b,0.0,0.00
xn--czrs0t,0.0,0.00
xn--czru2d,0.0,0.00
xn--d1acj3b,0.0,0.00
xn--e1a4c,0.0,0.00
xn--fiq228c5hs,0.0,0.00
xn--fiq64b,0.0,0.00
xn--fiqs8s,0.2,0.00
xn--fiqz9s,0.0,0.00
xn--fjq720a,0.0,0.00
xn--h2brj9c,0.0,0.00
xn--hxt814e,0.0,0.00
xn--io0a7i,0.0,0.00
xn--j1amh,0.0,0.00
xn--j6w193g,0.0,0.00
xn--kpry57d,0.0,0.00
xn--kput3i,0.6,0.00
xn--mgbaam7a8h,0.0,0.00
xn--mgbayh7gpa,0.0,0.00
xn--mgbca7dzdo,0.0,0.00
xn--mgberp4a5d4ar,0.0,0.00
xn--mk1bu44c,0.0,0.00
xn--ngbc5azd,0.0,0.00
xn--node,0.0,0.00
xn--nqv7f,14.3,0.00
xn--o3cw4h,0.0,0.00
xn--p1acf,0.1,0.00
xn--p1ai,5.7,0.40
xn--pgbs0dh,0.0,0.00
xn--q9jyb4c,6.7,0.00
