Label,Domain_score,Domain_name,DomainToolRegistrars,knujon,DomainNameEntropy,registrar_prices,ttlRisk,spamhausTld,domain_age,AlexaLevSim
maleware,5.666666667,theporkauthority.com,0.6,0.4419778,0.0579821,0.534007116,0.7,0.060869565,0.5,0.75
maleware,6.444444444,dwdpi.co.kr,0.6,0.6,0.057952606,0.6,0.7,0.6,0.5,0.75
maleware,6.333333333,fileserver.co.kr,0.6,0.524722503,0.059633784,0.6,0.7,0.6,0.5,0.6875
maleware,5.888888889,festival.cocobau.com,0.6,0.6,0.059899003,0.6,0.7,0.060869565,0.5,0.6
maleware,5.444444444,lauglyhousebuyers.com,0.6,0.6,0.056161317,0.6,0.6,0.060869565,0.5,0.571428571
maleware,5.888888889,truckersemanifest.com,0.6,0.6,0.057170125,0.122601732,0.7,0.060869565,0.5,0.666666667
maleware,6.111111111,0000mps.webpreview.dsl.net,0.6,0.16851665,0.160488634,0.6,0.7,0.058385093,0.5,0.857142857
maleware,6.444444444,izlinix.com,0.387024609,0.529767911,0.134041651,0.6,0.6,0.060869565,0.5,0.818181818
maleware,5.666666667,leonarderickson.chez.com,0.6,0.3370333,0.075206888,0.6,0.7,0.060869565,0.5,0.56
maleware,5.444444444,onlinetribun.com,0.412751678,0.065590313,0.041270925,0.729644717,0.7,0.060869565,0.5,0.75
maleware,6.444444444,ozarslaninsaat.com.tr,0.6,0.6,0.061235892,0.6,0.7,0.6,0.5,0.619047619
maleware,5.444444444,platamones.nl,0.6,0.6,0.033142043,0.6,0.7,0.004968944,0.5,0.692307692
maleware,6.111111111,agroluftbild.de,0.6,0.6,0.053618459,0.6,0.7,0.002484472,0.5,0.6
maleware,5.555555556,coleccionperezsimon.com,0.6,0.39556004,0.065045859,0.415891539,0.7,0.060869565,0.5,0.565217391
maleware,5.666666667,tfpcmedia.org,0.6,0.6,0.057561507,0.6,0.7,0.01863354,0.5,0.692307692
maleware,5.888888889,setjetters.com,0.097315436,0.272452069,0.052934449,0,0.7,0.060869565,0.5,0.785714286
maleware,6.222222222,shema.firstcom.co.kr,0.6,0.6,0.055689476,0.6,0.7,0.6,0.5,0.6
maleware,5.555555556,sinopengelleriasma.com,0.097315436,0.272452069,0.041137273,0,0.6,0.060869565,0.5,0.545454545
maleware,5.333333333,adfrut.cl,0.6,0.6,0.054554442,0.6,0.7,0.003726708,0.5,0.666666667
maleware,6.111111111,stoneb.cn,0.6,0.6,0.032013089,0.6,0.7,0.288198758,0.5,0.7
maleware,6,zotasinc.com,0.097315436,0.272452069,0.074227164,0,0.6,0.060869565,0.5,0.75
maleware,6.555555556,chinalve.com,0.6,0.6,0.057627477,0.6,0.6,0.060869565,0.5,0.923076923
maleware,5.666666667,www.yntscp.com,0.6,0.6,0.062424035,0.6,0.6,0.060869565,0.5,0.642857143
maleware,5.666666667,hncopd.com,0.387024609,0.529767911,0.046054914,0.6,0.7,0.060869565,0.5,0.727272727
maleware,5.888888889,www.prjcode.com,0.097315436,0.272452069,0.076953613,0,0.6,0.060869565,0.5,0.666666667
maleware,5.888888889,xinyitaoci.com,0.097315436,0.272452069,0.096061301,0,0.6,0.060869565,0.5,0.642857143
maleware,5.333333333,relimar.com,0.6,0.6,0.034569219,0.6,0.3,0.060869565,0.5,0.769230769
maleware,5.888888889,tr-gdz.ru,0.6,0.6,0.092981865,0.6,0.7,0.034782609,0.5,0.666666667
maleware,5.666666667,valetik.ru,0.6,0.6,0.056572642,0.6,0.7,0.034782609,0.5,0.727272727
maleware,5.777777778,frankfisherfamily.com,0.6,0.39556004,0.072707883,0.415891539,0.7,0.060869565,0.5,0.666666667
maleware,6,subeihm.com,0.6,0.6,0.045523291,0.6,0.7,0.060869565,0.5,0.818181818
maleware,6,telephonie-voip.info,0.6,0.6,0.063600201,0.6,0.7,0.093167702,0.5,0.55
maleware,6.222222222,www.gdby.com.cn,0.6,0.6,0.065653081,0.6,0.6,0.6,0.5,0.6
maleware,5.666666667,helpformedicalbills.com,0.097315436,0.272452069,0.056750066,0,0.7,0.060869565,0.5,0.565217391
maleware,6.555555556,cdqyys.com,0.387024609,0.529767911,0.170689282,0.6,0.6,0.060869565,0.5,0.8
maleware,5.888888889,samwooind.co.kr,0.6,0.6,0.055896636,0.6,0.3,0.6,0.5,0.733333333
maleware,6,firehorny.com,0.6,0.6,0.06136811,0.6,0.7,0.060869565,0.5,0.769230769
maleware,6.222222222,lectscalimertdr43.land.ru,0.6,0.6,0.170889847,0.6,0.7,0.034782609,0.5,0.714285714
maleware,6,lfcraft.com,0.6,0.6,0.05360874,0.6,0.3,0.060869565,0.5,0.833333333
maleware,6.666666667,chinatlz.com,0.6,0.6,0.081889609,0.6,0.7,0.060869565,0.5,0.833333333
maleware,5.333333333,condosguru.com,0.6,0.6,0.044477035,0.6,0.3,0.060869565,0.5,0.733333333
maleware,5.555555556,eggfred.com,0.6,0.359233098,0.053125266,0.6,0.6,0.060869565,0.5,0.727272727
maleware,5.777777778,ets-grup.com,0.6,0.6,0.05494092,0.6,0.7,0.060869565,0.5,0.714285714
maleware,6,www.thoosje.com,0.097315436,0.272452069,0.073839948,0,0.7,0.060869565,0.5,0.6
maleware,5.555555556,alchenomy.com,0.6,0.6,0.050855985,0.6,0.6,0.060869565,0.5,0.692307692
maleware,5.333333333,cowbears.nl,0.6,0.6,0.04823739,0.6,0.7,0.004968944,0.5,0.583333333
maleware,6.888888889,qhhxzny.gov.cn,0.6,0.6,0.245990562,0.6,0.7,0.6,0.5,0.642857143
maleware,6.333333333,anafartalartml.k12.tr,0.6,0.6,0.098880634,0.6,0.7,0.6,0.5,0.44
maleware,5.333333333,bartnagel.tv,0.6,0.6,0.046622161,0.6,0.7,0.003726708,0.5,0.583333333
maleware,6.222222222,centro-moto-guzzi.de,0.6,0.6,0.098650863,0.6,0.7,0.002484472,0.5,0.409090909
maleware,6.111111111,dinkelbrezel.de,0.6,0.6,0.075562935,0.6,0.6,0.002484472,0.5,0.5625
maleware,6,dittel.sk,0.6,0.6,0.040221166,0.6,0.6,0,0.5,0.666666667
maleware,5.888888889,empe3net7.neostrada.pl,0.6,0.6,0.183436375,0.6,0.7,0.007453416,0.5,0.666666667
maleware,6.111111111,huidakms.com.cn,0.6,0.6,0.056514135,0.6,0.6,0.6,0.5,0.666666667
maleware,6.888888889,iwb.com.cn,0.6,0.6,0.048054411,0.6,0.6,0.6,0.5,0.818181818
maleware,5.444444444,www.xmhbcc.com,0.6,0.16851665,0.109099011,0.6,0.6,0.060869565,0.5,0.571428571
maleware,5.666666667,www.nbyuxin.com,0.387024609,0.529767911,0.113934861,0.6,0.7,0.060869565,0.5,0.6
maleware,6,www.qqkabb.com,0.6,0.6,0.203018158,0.6,0.6,0.060869565,0.5,0.571428571
maleware,5.888888889,baryote.com,0.6,0.6,0.04490606,0.6,0.7,0.060869565,0.5,0.785714286
maleware,6.666666667,gunibox.com,0.097315436,0.272452069,0.102572544,0,0.6,0.060869565,0.5,0.818181818
maleware,6.555555556,ifix8.com,0.6,0.6,0.288102544,0.6,0.7,0.060869565,0.5,0.8
maleware,6.222222222,bossmb.com,0.6,0.6,0.03058325,0.6,0.5,0.060869565,0.5,0.8
maleware,5.888888889,csbjkj.com,0.6,0.16851665,0.081655411,0.6,0.7,0.060869565,0.5,0.7
maleware,5.777777778,www.hengjia8.com,0.387024609,0.529767911,0.203226384,0.6,0.6,0.060869565,0.5,0.5625
maleware,5.888888889,www.laobaozj.com,0.097315436,0.272452069,0.101174338,0,0.6,0.060869565,0.5,0.625
maleware,5.666666667,www.qhdast.com,0.6,0.6,0.157472262,0.6,0.5,0.060869565,0.5,0.571428571
maleware,5.666666667,www.rsrly.com,0.6,0.6,0.05803186,0.6,0.6,0.060869565,0.5,0.615384615
maleware,5.888888889,www.stkjw.net,0.6,0.6,0.074526805,0.6,0.7,0.058385093,0.5,0.538461538
maleware,5.777777778,www.xtewx.com,0.6,0.6,0.127737958,0.6,0.5,0.060869565,0.5,0.642857143
maleware,5.222222222,www.yc1234.com,0.387024609,0.529767911,0.313195137,0.6,0.1,0.060869565,0.5,0.571428571
maleware,6.444444444,yserch.com,0.097315436,0.272452069,0.050206533,0,0.6,0.060869565,0.5,0.833333333
